fiindex,fi_opcode,crash,benign,SDC
1126,sext,0.6666666666666666,0.13333333333333333,0.20000000000000007
1127,getelementptr,0.7333333333333333,0.13333333333333333,0.13333333333333341
1128,load,0.0,0.5333333333333333,0.4666666666666667
1129,getelementptr,0.9,0.03333333333333333,0.06666666666666665
1131,sext,0.7666666666666667,0.03333333333333333,0.19999999999999996
1132,getelementptr,0.6666666666666666,0.1,0.2333333333333334
1133,load,0.0,0.7,0.30000000000000004
1134,getelementptr,0.6666666666666666,0.13333333333333333,0.20000000000000007
1136,sext,0.7,0.2,0.10000000000000009
1137,getelementptr,0.6666666666666666,0.1,0.2333333333333334
1138,load,0.0,0.8333333333333334,0.16666666666666663
1139,getelementptr,0.7,0.13333333333333333,0.16666666666666674
1141,load,0.7,0.06666666666666667,0.2333333333333334
1142,getelementptr,0.6333333333333333,0.03333333333333333,0.33333333333333337
1143,load,0.0,0.7666666666666667,0.23333333333333328
1145,getelementptr,0.8666666666666667,0.13333333333333333,0.0
1146,load,0.0,0.7,0.30000000000000004
1147,getelementptr,0.8666666666666667,0.1,0.033333333333333326
1149,getelementptr,0.6,0.23333333333333334,0.16666666666666663
1150,load,0.0,0.6333333333333333,0.3666666666666667
1151,getelementptr,0.7333333333333333,0.2,0.06666666666666676
1153,getelementptr,0.6666666666666666,0.16666666666666666,0.16666666666666674
1154,load,0.0,0.7,0.30000000000000004
1155,getelementptr,0.7666666666666667,0.1,0.1333333333333333
1157,getelementptr,0.5666666666666667,0.13333333333333333,0.30000000000000004
1158,load,0.0,0.8666666666666667,0.1333333333333333
1159,getelementptr,0.7,0.16666666666666666,0.13333333333333341
1161,getelementptr,0.7333333333333333,0.13333333333333333,0.13333333333333341
1162,load,0.0,0.6666666666666666,0.33333333333333337
1163,getelementptr,0.8,0.16666666666666666,0.033333333333333326
1165,getelementptr,0.7,0.16666666666666666,0.13333333333333341
1166,load,0.0,0.7333333333333333,0.2666666666666667
1167,getelementptr,0.8333333333333334,0.03333333333333333,0.1333333333333333
1169,getelementptr,0.6,0.13333333333333333,0.2666666666666667
1170,load,0.0,0.6666666666666666,0.33333333333333337
1171,getelementptr,0.7,0.23333333333333334,0.06666666666666665
1173,load,0.6333333333333333,0.16666666666666666,0.20000000000000007
